market_type,assets_id,assets_short_cn_name,assets_full_cn_name,party_short_cn_name,party_short_en_name,party_full_cn_name,party_full_en_name,party_url,description,location,founding_time,listing_time,section_tags,stakeholders
H股,00023.XHKG,东亚银行,东亚银行,东亚银行,BANK OF E ASIA,东亚银行有限公司,The Bank Of East Asia Limited,www.hkbea.com,东亚银行有限公司是一家主要从事银行业务的公司。公司及其子公司通过三大分部运营：中国业务分部，个人银行分部，企业银行分部，国际业务分部，财富管理分部，财资市场分部，金融机构分部，其他香港银行业务分部，企业服务分部，以及其他业务分部。中国业务分部从事运营香港支援中国业务的后勤单位、所有在中国经营的分行、附属公司及联营公司。个人银行分部从事在香港之分行营运、个人电子网络银行、消费贷款、按揭贷款及信用卡业务。企业银行分部从事在香港之企业借贷及银团贷款、资产融资、商业贷款及证券业务贷款。,香港德辅道中10号,1918-11-14,1921-01-01,银行,,
H股,00024.XHKG,宝威,宝威控股,宝威控股,BURWILL,宝威控股有限公司,Burwill Holdings Limited,www.burwill.com,宝威控股有限公司是一家主要从事钢铁贸易的香港投资控股公司。该公司通过三大分部运营。钢铁贸易分部从事钢材产品及进口铁矿砂、生铁、废钢及钢坯等原材料的采购及销售。钢铁加工分部从事钢铁加工以及提供仓储及物流服务。矿产资源分部从事采矿业务。,香港中环太子大厦22楼,1949-12-31,1983-09-15,一般金属及矿石,,
H股,00025.XHKG,CHEVALIER INTL,CHEVALIER INTL,CHEVALIER INTL,CHEVALIER INTL,其士国际集团有限公司,Chevalier International Holdings Limited,www.chevalier.com,其士国际集团有限公司是一家主要从事建筑及物业相关业务的香港投资控股公司。该公司通过五大分部运营。建筑及机械工程分部从事铝窗及幕墙、楼宇建筑、建材供应、机电工程、升降机及电扶梯相关业务。保险及投资分部从事一般保险业务及证券投资。物业分部从事物业投资、发展及管理、仓库冷藏及物流及酒店营运。餐饮分部从事餐厅及酒吧运营。其他分部从事资讯科技（IT）设备和商业机器的销售及服务、汽车零售、食品贸易及农作物供应。,香港九龙湾宏开道8号其士商业中心22楼,,1984-12-05,综合企业,,
H股,00026.XHKG,中华汽车,中华汽车,中华汽车,CHINA MOTOR BUS,中华汽车有限公司,China Motor Bus Company Limited,www.irasia.com/listco/hk/cmb/index.htm,中华汽车有限公司是一家主要从事物业业务的香港公司。该公司通过两大分部运营。物业发展及投资分部从事物业的发展、建设、销售及推销。其物业包括位于香港及伦敦的商场、写字楼及住宅。财资管理分部从事上市证券投资以及金融资产及其他财务运作。,香港北角英皇道510号港运大厦26楼2606-8室,1933-04-28,1962-01-01,地产,,
H股,00027.XHKG,银河娱乐,银河娱乐,银河娱乐,GALAXY ENT,银河娱乐集团有限公司,Galaxy Entertainment Group Limited,http://www.galaxyentertainment.com,"银河娱乐集团有限公司（GEG）是一家酒店与博彩公司。该公司在澳门开发和经营酒店、博彩和综合渡假设施。该公司的主营业务为投资控股。该公司通过其子公司开展业务，该公司在澳门运营赌场博彩和其他形式的博彩业务，并在澳门提供酒店及相关服务，并制造、销售和分销建筑材料。该公司的业务部门包括博彩与娱乐部门、建筑材料部门和公司与库务管理部门。该公司旗下的澳门银河集团包括澳门丽思卡尔顿酒店、澳门悦榕庄、澳门JW万豪酒店、澳门大仓酒店和银河酒店五家酒店，提供约3,600间客房、套房和别墅。该公司旗下的澳门百老汇提供约320间客房与套房，以及车辆通道、代客泊车和室内装潢。该公司运营三家城市娱乐会赌场：华都娱乐场、总统娱乐场和利澳娱乐场。",香港中环夏悫道10号和记大厦16楼1606室,1987-05-19,1991-10-07,酒店、赌场及消闲设施,,
H股,00028.XHKG,天安,天安中国投资,天安中国投资,TIAN AN,天安中国投资有限公司,Tian An China Investments Company Limited,www.tiananchina.com,天安中国投资有限公司是一家从事物业相关业务的香港投资控股公司。该公司通过三大分部运营。物业发展分部从事商业、办公及住宅物业的发展。物业投资分部从事商业、办公及住宅物业的投资。其他营运分部从事酒店及物业管理以及高尔夫球场的营运。该公司主要在中国发展业务。,香港湾仔告士打道138号联合鹿岛大厦22楼,1986-10-24,1987-03-18,地产,,
H股,00029.XHKG,达力,达力集团,达力集团,DYNAMIC HOLD,达力集团有限公司,Dynamic Holdings Limited,http://www.dynamic.hk,达力集团有限公司是一家主要从事物业业务的香港投资控股公司。该公司主要业务包括物业投资、发展、租赁及销售。其投资物业主要包括位于北京及上海的写字楼、商场及停车场。该公司还通过子公司从事融资以及提供信托及管理服务。,香港铜锣湾希慎道8号裕景商业中心17楼,1992-12-31,1980-01-04,地产,,
H股,00030.XHKG,万隆控股集团,万隆控股集团,万隆控股集团,BAN LOONG HOLD,万隆控股集团有限公司,Ban Loong Holdings Ltd.,http://www.0030hk.com,万隆控股集团有限公司（原名：佳讯（控股）有限公司）是一家主要从事金融及采矿业务的香港投资控股公司。该公司通过四大分部运营。金融报价服务分部提供金融报价服务及无线应用的发展。采矿经营分部从事矿产销售以及采矿权及相关资产的租赁。放债分部提供融资服务。贸易分部从事货品及商品贸易。,香港湾仔港湾道26号华润大厦27楼2709-10室,,1991-10-09,一般金属及矿石,,
H股,00031.XHKG,航天控股,航天控股,航天控股,CHINA AEROSPACE,中国航天国际控股有限公司,China Aerospace International Holdings Limited,www.casil-group.com,中国航天国际控股有限公司是一家从事制造和销售科技工业产品的投资控股公司。公司及其子公司通过三大分部运营。科技工业分部从事生产和销售注塑产品、液晶显示器、线路板以及智能充电器。其还从事相关的工业物业投资。航天服务业分部从深圳航天科技广场物业投资项目，海南发射场配套区土地开发项目，物联网及跨境电商物流。新材料业务分部从事产和销售聚醯亚胺薄膜。,香港九龙红磡德丰街18号海滨广场一座11字楼1103-1107A室,1975-07-25,1981-08-25,工业工程,,
H股,00032.XHKG,港通,港通控股,港通控股,CROSS-HAR(HOLD,港通控股有限公司,The Cross-Harbour(Holdings) Limited,www.crossharbour.com.hk,港通控股有限公司是一家主要从事交通相关业务的香港投资控股公司。该公司通过四大分部运营。驾驶学校经营分部投资于经营驾驶训练中心的子公司。隧道经营分部投资于经营西区海底隧道及大老山隧道的联营公司。道路电子收费设施经营分部投资于一家经营道路电子收费系统及提供汽车通讯系统服务的合营公司。财务分部从事投资及财务业务。,香港湾仔港湾道26号华润大厦3301-07室,1965-04-26,1974-07-30,工用运输,,
